A6 reads 0160.  Therefore, state is: 0000
A5 reads 0089.  Therefore, state is: 0000
A4 reads 0138.  Therefore, state is: 0000
A3 reads 0168.  Therefore, state is: 0000
A2 reads 0282.  Therefore, state is: 0000
A1 reads 0160.  Therefore, state is: 0000
A0 reads 0164.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   71
A9 reads 0059.  Therefore, state is: 0000
A8 reads 0000.  Therefore, state is: 0000
A7 reads 0147.  Therefore, state is: 0000
A6 reads 0156.  Therefore, state is: 0000
A5 reads 0045.  Therefore, state is: 0000
A4 reads 0108.  Therefore, state is: 0000
A3 reads 0147.  Therefore, state is: 0000
A2 reads 0266.  Therefore, state is: 0000
A1 reads 0124.  Therefore, state is: 0000
A0 reads 0140.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   72
A9 reads 0061.  Therefore, state is: 0000
A8 reads 0004.  Therefore, state is: 0000
A7 reads 0154.  Therefore, state is: 0000
A6 reads 0161.  Therefore, state is: 0000
A5 reads 0082.  Therefore, state is: 0000
A4 reads 0136.  Therefore, state is: 0000
A3 reads 0167.  Therefore, state is: 0000
A2 reads 0271.  Therefore, state is: 0000
A1 reads 0145.  Therefore, state is: 0000
A0 reads 0156.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   73
A9 reads 0062.  Therefore, state is: 0000
A8 reads 0103.  Therefore, state is: 0000
A7 reads 0179.  Therefore, state is: 0000
A6 reads 0176.  Therefore, state is: 0000
A5 reads 0130.  Therefore, state is: 0000
A4 reads 0165.  Therefore, state is: 0000
A3 reads 0186.  Therefore, state is: 0000
A2 reads 0275.  Therefore, state is: 0000
A1 reads 0157.  Therefore, state is: 0000
A0 reads 0161.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   74
A9 reads 0060.  Therefore, state is: 0000
A8 reads 0064.  Therefore, state is: 0000
A7 reads 0173.  Therefore, state is: 0000
A6 reads 0169.  Therefore, state is: 0000
A5 reads 0103.  Therefore, state is: 0000
A4 reads 0141.  Therefore, state is: 0000
A3 reads 0168.  Therefore, state is: 0000
A2 reads 0270.  Therefore, state is: 0000
A1 reads 0141.  Therefore, state is: 0000
A0 reads 0150.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   75
A9 reads 0062.  Therefore, state is: 0000
A8 reads 0109.  Therefore, state is: 0000
A7 reads 0185.  Therefore, state is: 0000
A6 reads 0177.  Therefore, state is: 0000
A5 reads 0139.  Therefore, state is: 0000
A4 reads 0169.  Therefore, state is: 0000
A3 reads 0187.  Therefore, state is: 0000
A2 reads 0275.  Therefore, state is: 0000
