LOOPING
A9 reads 0897.  Therefore, state is: 0x0001
A8 reads 0829.  Therefore, state is: 0x0003
A7 reads 0569.  Therefore, state is: 0x0006
A6 reads 0541.  Therefore, state is: 0x000c
A5 reads 0532.  Therefore, state is: 0x0018
A4 reads 0493.  Therefore, state is: 0x0030
A3 reads 0473.  Therefore, state is: 0x0060
A2 reads 0439.  Therefore, state is: 0x00c0
A1 reads 0416.  Therefore, state is: 0x0180
A0 reads 0477.  Therefore, state is: 0x0300
[MAIN] State is: 0x300, time is:   46
LOOPING
A9 reads 0562.  Therefore, state is: 0000
A8 reads 0302.  Therefore, state is: 0000
A7 reads 0599.  Therefore, state is: 0000
A6 reads 0552.  Therefore, state is: 0000
A5 reads 0531.  Therefore, state is: 0000
A4 reads 0530.  Therefore, state is: 0000
A3 reads 0522.  Therefore, state is: 0000
A2 reads 0587.  Therefore, state is: 0000
A1 reads 0617.  Therefore, state is: 0x0001
A0 reads 0670.  Therefore, state is: 0x0003
[MAIN] State is:  0x3, time is:   47
LOOPING
A9 reads 0748.  Therefore, state is: 0x0001
A8 reads 0895.  Therefore, state is: 0x0003
A7 reads 0775.  Therefore, state is: 0x0007
A6 reads 0691.  Therefore, state is: 0x000f
A5 reads 0933.  Therefore, state is: 0x001f
A4 reads 0842.  Therefore, state is: 0x003f
A3 reads 0788.  Therefore, state is: 0x007f
A2 reads 0952.  Therefore, state is: 0x00ff
A1 reads 0947.  Therefore, state is: 0x01ff
A0 reads 0926.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:   48
LOOPING
A9 reads 0542.  Therefore, state is: 0000
A8 reads 0585.  Therefore, state is: 0000
A7 reads 0494.  Therefore, state is: 0000
A6 reads 0512.  Therefore, state is: 0000
A3 reads 0700.  Therefore, state is: 0x0007
A2 reads 0909.  Therefore, state is: 0x000f
A5 reads 0761.  Therefore, state is: 0x0001
A4 reads 0730.  Therefore, state is: 0x0003
A1 reads 0882.  Therefore, state is: 0x001f
A0 reads 0938.  Therefore, state is: 0x003f
[MAIN] State is: 0x3f, time is:   49
LOOPING
A9 reads 0732.  Therefore, state is: 0x0001
A8 reads 0860.  Therefore, state is: 0x0003
A7 reads 0794.  Therefore, state is: 0x0007
A6 reads 0638.  Therefore, state is: 0x000f
A5 reads 0609.  Therefore, state is: 0x001f
A4 reads 0582.  Therefore, state is: 0x003e
A3 reads 0555.  Therefore, state is: 0x007c
A2 reads 0648.  Therefore, state is: 0x00f9
A1 reads 0669.  Therefore, state is: 0x01f3
A0 reads 0744.  Therefore, state is: 0x03e7
[MAIN] State is: 0x3e7, time is:   50
LOOPING
A9 reads 0773.  Therefore, state is: 0x0001
A8 reads 0803.  Therefore, state is: 0x0003
A7 reads 0843.  Therefore, state is: 0x0007
A6 reads 0762.  Therefore, state is: 0x000f
A5 reads 0870.  Therefore, state is: 0x001f
A4 reads 0803.  Therefore, state is: 0x003f
A3 reads 0745.  Therefore, state is: 0x007f
A2 reads 0961.  Therefore, state is: 0x00ff
A1 reads 1007.  Therefore, state is: 0x01ff
A0 reads 1004.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:   51
LOOPING
A9 reads 0714.  Therefore, state is: 0x0001
A8 reads 0601.  Therefore, state is: 0x0003
A7 reads 0928.  Therefore, state is: 0x0007
A6 reads 0797.  Therefore, state is: 0x000f
A5 reads 0913.  Therefore, state is: 0x001f
A4 reads 0826.  Therefore, state is: 0x003f
A3 reads 0755.  Therefore, state is: 0x007f
A2 reads 0899.  Therefore, state is: 0x00ff
A1 reads 0868.  Therefore, state is: 0x01ff
A0 reads 0842.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:   52
LOOPING
A9 reads 0474.  Therefore, state is: 0000
A8 reads 0261.  Therefore, state is: 0000
A7 reads 0743.  Therefore, state is: 0x0001
A6 reads 0659.  Therefore, state is: 0x0003
A5 reads 0518.  Therefore, state is: 0x0006
A4 reads 0525.  Therefore, state is: 0x000c
A3 reads 0500.  Therefore, state is: 0x0018
A2 reads 0513.  Therefore, state is: 0x0030
A1 reads 0529.  Therefore, state is: 0x0060
A0 reads 0578.  Therefore, state is: 0x00c0
[MAIN] State is: 0xc0, time is:   53
LOOPING
A9 reads 0635.  Therefore, state is: 0x0001
A8 reads 0433.  Therefore, state is: 0x0002
A7 reads 0705.  Therefore, state is: 0x0005
A6 reads 0662.  Therefore, state is: 0x000b
A5 reads 0665.  Therefore, state is: 0x0017
A4 reads 0634.  Therefore, state is: 0x002f
