LOOPING
A8 reads 0999.  Therefore, state is: 0x0003
A7 reads 1017.  Therefore, state is: 0x0007
A6 reads 0907.  Therefore, state is: 0x000f
A5 reads 0529.  Therefore, state is: 0x001e
A4 reads 0489.  Therefore, state is: 0x003c
A3 reads 0475.  Therefore, state is: 0x0078
A2 reads 0551.  Therefore, state is: 0x00f0
A1 reads 0539.  Therefore, state is: 0x01e0
A0 reads 0330.  Therefore, state is: 0x03c0
[MAIN] State is: 0x3c0, time is:   51
LOOPING
A9 reads 0889.  Therefore, state is: 0x0001
A8 reads 1004.  Therefore, state is: 0x0003
A7 reads 1019.  Therefore, state is: 0x0007
A6 reads 0909.  Therefore, state is: 0x000f
A5 reads 0605.  Therefore, state is: 0x001f
A4 reads 0548.  Therefore, state is: 0x003e
A3 reads 0515.  Therefore, state is: 0x007c
A2 reads 0541.  Therefore, state is: 0x00f8
