A2 reads 0826.  Therefore, state is: 0x0001
A1 reads 0994.  Therefore, state is: 0x0003
A0 reads 0972.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   47
A9 reads 0292.  Therefore, state is: 0000
A8 reads 0366.  Therefore, state is: 0000
A7 reads 0368.  Therefore, state is: 0000
A6 reads 0366.  Therefore, state is: 0000
A5 reads 0452.  Therefore, state is: 0000
A4 reads 0440.  Therefore, state is: 0000
A3 reads 0428.  Therefore, state is: 0000
A2 reads 0943.  Therefore, state is: 0x0001
A1 reads 1005.  Therefore, state is: 0x0003
A0 reads 0985.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   48
A9 reads 0331.  Therefore, state is: 0000
A8 reads 0394.  Therefore, state is: 0000
A7 reads 0374.  Therefore, state is: 0000
A6 reads 0363.  Therefore, state is: 0000
A5 reads 0449.  Therefore, state is: 0000
A4 reads 0434.  Therefore, state is: 0000
A3 reads 0417.  Therefore, state is: 0000
A2 reads 0874.  Therefore, state is: 0x0001
A1 reads 0994.  Therefore, state is: 0x0003
A0 reads 0965.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   49
A9 reads 0285.  Therefore, state is: 0000
A8 reads 0338.  Therefore, state is: 0000
A7 reads 0354.  Therefore, state is: 0000
A6 reads 0347.  Therefore, state is: 0000
A5 reads 0397.  Therefore, state is: 0000
A4 reads 0394.  Therefore, state is: 0000
A3 reads 0392.  Therefore, state is: 0000
A2 reads 0837.  Therefore, state is: 0x0001
A1 reads 0999.  Therefore, state is: 0x0003
A0 reads 0973.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   50
A9 reads 0305.  Therefore, state is: 0000
A8 reads 0421.  Therefore, state is: 0000
A7 reads 0377.  Therefore, state is: 0000
A6 reads 0366.  Therefore, state is: 0000
A5 reads 0454.  Therefore, state is: 0000
A4 reads 0431.  Therefore, state is: 0000
A3 reads 0419.  Therefore, state is: 0000
A2 reads 0931.  Therefore, state is: 0x0001
A1 reads 1011.  Therefore, state is: 0x0003
A0 reads 0985.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   51
A9 reads 0332.  Therefore, state is: 0000
A8 reads 0433.  Therefore, state is: 0000
A7 reads 0387.  Therefore, state is: 0000
A6 reads 0369.  Therefore, state is: 0000
A5 reads 0432.  Therefore, state is: 0000
A4 reads 0412.  Therefore, state is: 0000
A3 reads 0399.  Therefore, state is: 0000
A2 reads 0864.  Therefore, state is: 0x0001
A1 reads 1000.  Therefore, state is: 0x0003
A0 reads 0962.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   52
A9 reads 0271.  Therefore, state is: 0000
A8 reads 0317.  Therefore, state is: 0000
A7 reads 0361.  Therefore, state is: 0000
A6 reads 0354.  Therefore, state is: 0000
A5 reads 0391.  Therefore, state is: 0000
A4 reads 0391.  Therefore, state is: 0000
A3 reads 0382.  Therefore, state is: 0000
A2 reads 0831.  Therefore, state is: 0x0001
A1 reads 0996.  Therefore, state is: 0x0003
A0 reads 0969.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   53
A9 reads 0301.  Therefore, state is: 0000
A8 reads 0385.  Therefore, state is: 0000
A7 reads 0373.  Therefore, state is: 0000
A6 reads 0365.  Therefore, state is: 0000
A5 reads 0439.  Therefore, state is: 0000
A4 reads 0417.  Therefore, state is: 0000
A3 reads 0400.  Therefore, state is: 0000
A2 reads 0818.  Therefore, state is: 0x0001
A1 reads 0991.  Therefore, state is: 0x0003
A0 reads 0979.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   54
A9 reads 0320.  Therefore, state is: 0000
A8 reads 0377.  Therefore, state is: 0000
A7 reads 0371.  Therefore, state is: 0000
A6 reads 0361.  Therefore, state is: 0000
A5 reads 0406.  Therefore, state is: 0000
A4 reads 0391.  Therefore, state is: 0000
A3 reads 0379.  Therefore, state is: 0000
A2 reads 0772.  Therefore, state is: 0x0001
A1 reads 0986.  Therefore, state is: 0x0003
A0 reads 0959.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   55
A9 reads 0265.  Therefore, state is: 0000
A8 reads 0295.  Therefore, state is: 0000
